   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
           0   5.00000056E-07   0.00000000       0.00000000       0.00000000    
           1   1.00000011E-06   1.00000011E-06   1.00016587E-06   1.65727921E-04
           2   1.50000017E-06   1.99995020E-06   2.00033173E-06   1.90734878E-04
           3   2.00000022E-06   2.99985027E-06   2.99930571E-06  -1.81562005E-04
           4   2.50000039E-06   3.99970031E-06   3.99947157E-06  -5.71920355E-05
           5   3.00000033E-06   4.99950056E-06   4.99963744E-06   2.73777750E-05
           6   3.50000028E-06   5.99925079E-06   5.99861141E-06  -1.06587133E-04
           7   4.00000044E-06   6.99895099E-06   6.99877728E-06  -2.48205488E-05
           8   4.50000061E-06   7.99860118E-06   7.99894315E-06   4.27518971E-05
           9   5.00000078E-06   8.99820134E-06   8.99791667E-06  -3.16375299E-05
          10   5.50000050E-06   9.99775148E-06   9.99808253E-06   3.31119554E-05
          11   6.00000067E-06   1.09972516E-05   1.09970570E-05  -1.76985413E-05
          12   6.50000084E-06   1.19967017E-05   1.19960305E-05  -5.59524342E-05
          13   7.00000055E-06   1.29961018E-05   1.29961963E-05   7.27808720E-06
          14   7.50000072E-06   1.39954518E-05   1.39951699E-05  -2.01457624E-05
          15   8.00000089E-06   1.49947518E-05   1.49941443E-05  -4.05186474E-05
          16   8.50000106E-06   1.59940028E-05   1.59931187E-05  -5.52755773E-05
          17   9.00000123E-06   1.69932027E-05   1.69932846E-05   4.81687493E-06
          18   9.50000140E-06   1.79923536E-05   1.79922572E-05  -5.35821800E-06
          19   1.00000016E-05   1.89914535E-05   1.89912316E-05  -1.16852198E-05
          20   1.05000008E-05   1.99905044E-05   1.99902061E-05  -1.49230209E-05
          21   1.10000010E-05   2.09895043E-05   2.09891787E-05  -1.55127127E-05
          22   1.15000012E-05   2.19884550E-05   2.19881531E-05  -1.37324969E-05
          23   1.20000013E-05   2.29873549E-05   2.29871275E-05  -9.89134787E-06
          24   1.25000015E-05   2.39862056E-05   2.39861001E-05  -4.39843825E-06
          25   1.30000017E-05   2.49850073E-05   2.49838831E-05  -4.49944237E-05
          26   1.35000018E-05   2.59837580E-05   2.59828557E-05  -3.47236164E-05
          27   1.40000011E-05   2.69824595E-05   2.69818302E-05  -2.33257088E-05
          28   1.45000013E-05   2.79811102E-05   2.79808046E-05  -1.09214234E-05
          29   1.50000014E-05   2.89797117E-05   2.89785858E-05  -3.88547051E-05
          30   1.55000016E-05   2.99782623E-05   2.99775602E-05  -2.34218496E-05
          31   1.60000018E-05   3.09767638E-05   3.09765346E-05  -7.39891220E-06
          32   1.65000019E-05   3.19752144E-05   3.19743158E-05  -2.81032062E-05
          33   1.70000021E-05   3.29736140E-05   3.29732902E-05  -9.81946596E-06
          34   1.75000023E-05   3.39719663E-05   3.39710714E-05  -2.63442616E-05
          35   1.80000025E-05   3.49702677E-05   3.49688526E-05  -4.04695493E-05
          36   1.85000026E-05   3.59685182E-05   3.59678270E-05  -1.92176176E-05
          37   1.90000028E-05   3.69667214E-05   3.69656082E-05  -3.01150594E-05
          38   1.95000030E-05   3.79648736E-05   3.79633893E-05  -3.90980713E-05
          39   2.00000031E-05   3.89629749E-05   3.89623638E-05  -1.56864317E-05
          40   2.05000015E-05   3.99610253E-05   3.99601449E-05  -2.20317233E-05
          41   2.10000017E-05   4.09590284E-05   4.09579261E-05  -2.69131688E-05
          42   2.15000018E-05   4.19569806E-05   4.19557073E-05  -3.03484958E-05
          43   2.20000020E-05   4.29548818E-05   4.29534884E-05  -3.24384819E-05
          44   2.25000022E-05   4.39527357E-05   4.39512733E-05  -3.32747477E-05
          45   2.30000023E-05   4.49505387E-05   4.49490544E-05  -3.30217263E-05
          46   2.35000025E-05   4.59482908E-05   4.59468356E-05  -3.16712030E-05
          47   2.40000027E-05   4.69459919E-05   4.69446168E-05  -2.92931563E-05
          48   2.45000028E-05   4.79436458E-05   4.79423979E-05  -2.60276247E-05
          49   2.50000030E-05   4.89412487E-05   4.89401791E-05  -2.18545538E-05
          50   2.55000032E-05   4.99388007E-05   4.99379639E-05  -1.67554917E-05
          51   2.60000033E-05   5.09363053E-05   5.09345518E-05  -3.44266446E-05
          52   2.65000035E-05   5.19337591E-05   5.19323330E-05  -2.74604972E-05
          53   2.70000037E-05   5.29311619E-05   5.29301142E-05  -1.97947411E-05
          54   2.75000039E-05   5.39285138E-05   5.39267057E-05  -3.35283876E-05
          55   2.80000022E-05   5.49258184E-05   5.49244869E-05  -2.42423794E-05
          56   2.85000024E-05   5.59230721E-05   5.59222681E-05  -1.43769794E-05
          57   2.90000025E-05   5.69202748E-05   5.69188596E-05  -2.48630022E-05
          58   2.95000027E-05   5.79174302E-05   5.79154475E-05  -3.42343628E-05
          59   3.00000029E-05   5.89145347E-05   5.89132287E-05  -2.21687806E-05
          60   3.05000030E-05   5.99115883E-05   5.99098203E-05  -2.95119844E-05
          61   3.10000032E-05   6.09085946E-05   6.09076014E-05  -1.63061450E-05
          62   3.15000034E-05   6.19055500E-05   6.19041894E-05  -2.19791928E-05
          63   3.20000036E-05   6.29024580E-05   6.29007773E-05  -2.67205960E-05
          64   3.25000037E-05   6.38993151E-05   6.38973725E-05  -3.04031382E-05
          65   3.30000039E-05   6.48961213E-05   6.48939604E-05  -3.32998534E-05
          66   3.35000041E-05   6.58928766E-05   6.58917415E-05  -1.72259734E-05
          67   3.40000042E-05   6.68895809E-05   6.68883295E-05  -1.87097612E-05
          68   3.45000044E-05   6.78862343E-05   6.78849174E-05  -1.93997184E-05
          69   3.50000046E-05   6.88828368E-05   6.88815126E-05  -1.92246698E-05
          70   3.55000047E-05   6.98793956E-05   6.98781005E-05  -1.85339959E-05
          71   3.60000049E-05   7.08759035E-05   7.08746884E-05  -1.71441316E-05
