# L  J2  spikes_after2  Vmax_after2
20.0 20.0 1 39.9361
19.5 20.0 1 39.9865
19.0 20.0 1 40.0193
18.5 20.0 1 40.0292
18.0 20.0 1 40.0102
17.5 20.0 1 39.9550
17.0 20.0 1 39.8540
16.5 20.0 1 39.6936
16.0 20.0 1 39.4532
15.5 20.0 1 39.0961
15.0 20.0 1 38.5417
14.5 20.0 1 37.5105
14.0 20.0 0 -58.4375
14.0 20.0 0 -58.4375
14.05 20.0 0 -57.9381
14.10 20.0 0 -56.5411
14.15 20.0 1 34.5494
14.10 20.0 0 -56.5411
14.105 20.0 0 -55.8878
14.110 20.0 1 31.4808
14.105 20.0 0 -55.8878
14.1055 20.0 0 -56.8145
14.1060 20.0 0 -55.6012
14.1065 20.0 0 -56.7564
14.1070 20.0 0 -55.0168
14.1075 20.0 0 -56.6930
14.1080 20.0 1 29.4231
0.5 20 1 40.5872
0.0 20 1 40.8368
0.0 20 1 40.8368
0.0 20 1 40.8368
0.2 20 1 40.7919
0 20 1 40.8368
0.2 30 1 41.0570
0 30 1 41.1017
0.2 50 1 41.4311
0 50 1 41.4744
0.2 100 1 42.0658
0 100 1 42.1056
0.2 200 1 48.7775
0 200 1 49.4616
0.2 500 1 61.4286
0 500 1 61.4844
0.2 1000 1 85.4576
0 1000 1 85.6622
