 # t  V  n  m  h  a  b  J
      0.00000000    -67.97600000      0.15580000      0.01000000      0.96500000      0.54040000      0.28850000      0.00000000
      0.01000000    -67.97594800      0.15580026      0.01001999      0.96500673      0.54040030      0.28850009      0.00000000
      0.02000000    -67.97589685      0.15580052      0.01003451      0.96501341      0.54040061      0.28850018      0.00000000
      0.03000000    -67.97584673      0.15580078      0.01004505      0.96502003      0.54040091      0.28850028      0.00000000
      0.04000000    -67.97579777      0.15580104      0.01005272      0.96502661      0.54040121      0.28850037      0.00000000
      0.05000000    -67.97575002      0.15580130      0.01005830      0.96503313      0.54040152      0.28850045      0.00000000
      0.06000000    -67.97570354      0.15580156      0.01006236      0.96503961      0.54040182      0.28850054      0.00000000
      0.07000000    -67.97565836      0.15580183      0.01006532      0.96504603      0.54040212      0.28850063      0.00000000
      0.08000000    -67.97561447      0.15580209      0.01006749      0.96505240      0.54040242      0.28850072      0.00000000
      0.09000000    -67.97557188      0.15580236      0.01006908      0.96505873      0.54040272      0.28850080      0.00000000
      0.10000000    -67.97553058      0.15580262      0.01007024      0.96506501      0.54040302      0.28850089      0.00000000
      0.11000000    -67.97549054      0.15580289      0.01007110      0.96507124      0.54040332      0.28850097      0.00000000
      0.12000000    -67.97545174      0.15580315      0.01007174      0.96507742      0.54040361      0.28850106      0.00000000
      0.13000000    -67.97541417      0.15580342      0.01007222      0.96508355      0.54040391      0.28850114      0.00000000
      0.14000000    -67.97537780      0.15580369      0.01007257      0.96508963      0.54040421      0.28850122      0.00000000
      0.15000000    -67.97534259      0.15580395      0.01007285      0.96509567      0.54040450      0.28850130      0.00000000
      0.16000000    -67.97530853      0.15580422      0.01007306      0.96510167      0.54040479      0.28850138      0.00000000
      0.17000000    -67.97527559      0.15580449      0.01007322      0.96510761      0.54040509      0.28850146      0.00000000
      0.18000000    -67.97524374      0.15580476      0.01007335      0.96511352      0.54040538      0.28850154      0.00000000
      0.19000000    -67.97521295      0.15580503      0.01007346      0.96511937      0.54040567      0.28850162      0.00000000
      0.20000000    -67.97518320      0.15580529      0.01007355      0.96512519      0.54040595      0.28850170      0.00000000
      0.21000000    -67.97515445      0.15580556      0.01007362      0.96513095      0.54040624      0.28850178      0.00000000
      0.22000000    -67.97512670      0.15580583      0.01007369      0.96513668      0.54040653      0.28850186      0.00000000
      0.23000000    -67.97509990      0.15580610      0.01007374      0.96514236      0.54040681      0.28850194      0.00000000
      0.24000000    -67.97507404      0.15580637      0.01007379      0.96514799      0.54040710      0.28850201      0.00000000
      0.25000000    -67.97504909      0.15580664      0.01007384      0.96515359      0.54040738      0.28850209      0.00000000
      0.26000000    -67.97502502      0.15580691      0.01007388      0.96515914      0.54040766      0.28850217      0.00000000
      0.27000000    -67.97500183      0.15580718      0.01007392      0.96516465      0.54040794      0.28850224      0.00000000
      0.28000000    -67.97497947      0.15580744      0.01007396      0.96517011      0.54040822      0.28850232      0.00000000
      0.29000000    -67.97495793      0.15580771      0.01007399      0.96517554      0.54040849      0.28850239      0.00000000
      0.30000000    -67.97493720      0.15580798      0.01007402      0.96518092      0.54040877      0.28850246      0.00000000
      0.31000000    -67.97491724      0.15580825      0.01007406      0.96518627      0.54040904      0.28850254      0.00000000
      0.32000000    -67.97489804      0.15580852      0.01007409      0.96519157      0.54040931      0.28850261      0.00000000
      0.33000000    -67.97487957      0.15580879      0.01007411      0.96519683      0.54040958      0.28850268      0.00000000
      0.34000000    -67.97486182      0.15580905      0.01007414      0.96520206      0.54040985      0.28850276      0.00000000
      0.35000000    -67.97484477      0.15580932      0.01007417      0.96520724      0.54041012      0.28850283      0.00000000
      0.36000000    -67.97482841      0.15580959      0.01007419      0.96521238      0.54041038      0.28850290      0.00000000
      0.37000000    -67.97481270      0.15580985      0.01007421      0.96521749      0.54041065      0.28850297      0.00000000
      0.38000000    -67.97479764      0.15581012      0.01007424      0.96522255      0.54041091      0.28850304      0.00000000
      0.39000000    -67.97478320      0.15581039      0.01007426      0.96522758      0.54041117      0.28850312      0.00000000
      0.40000000    -67.97476937      0.15581065      0.01007428      0.96523257      0.54041143      0.28850319      0.00000000
      0.41000000    -67.97475614      0.15581092      0.01007430      0.96523753      0.54041168      0.28850326      0.00000000
      0.42000000    -67.97474348      0.15581118      0.01007432      0.96524244      0.54041194      0.28850333      0.00000000
      0.43000000    -67.97473139      0.15581145      0.01007434      0.96524732      0.54041219      0.28850340      0.00000000
      0.44000000    -67.97471984      0.15581171      0.01007436      0.96525216      0.54041245      0.28850347      0.00000000
      0.45000000    -67.97470882      0.15581197      0.01007437      0.96525697      0.54041270      0.28850354      0.00000000
      0.46000000    -67.97469832      0.15581224      0.01007439      0.96526173      0.54041294      0.28850361      0.00000000
      0.47000000    -67.97468832      0.15581250      0.01007440      0.96526647      0.54041319      0.28850367      0.00000000
      0.48000000    -67.97467881      0.15581276      0.01007442      0.96527116      0.54041343      0.28850374      0.00000000
      0.49000000    -67.97466978      0.15581302      0.01007443      0.96527583      0.54041368      0.28850381      0.00000000
      0.50000000    -67.97466121      0.15581328      0.01007445      0.96528045      0.54041392      0.28850388      0.00000000
      0.51000000    -67.97465308      0.15581354      0.01007446      0.96528505      0.54041416      0.28850395      0.00000000
      0.52000000    -67.97464540      0.15581380      0.01007447      0.96528960      0.54041440      0.28850402      0.00000000
      0.53000000    -67.97463813      0.15581406      0.01007448      0.96529413      0.54041463      0.28850409      0.00000000
      0.54000000    -67.97463128      0.15581432      0.01007449      0.96529862      0.54041487      0.28850415      0.00000000
      0.55000000    -67.97462483      0.15581458      0.01007450      0.96530307      0.54041510      0.28850422      0.00000000
      0.56000000    -67.97461877      0.15581483      0.01007451      0.96530749      0.54041533      0.28850429      0.00000000
      0.57000000    -67.97461308      0.15581509      0.01007452      0.96531188      0.54041556      0.28850436      0.00000000
      0.58000000    -67.97460777      0.15581535      0.01007453      0.96531624      0.54041578      0.28850442      0.00000000
      0.59000000    -67.97460281      0.15581560      0.01007454      0.96532056      0.54041601      0.28850449      0.00000000
