 # V  ninf  minf  hinf  ainf  binf  taun  taum  tauh  taua  taub
   -100.00000000      0.01087277      0.00012540      0.99970874      0.39463223      0.85402435      2.39385574      0.00529972      0.27914265      1.40451777      3.80474799
    -99.90000000      0.01097488      0.00012718      0.99970434      0.39503103      0.85311272      2.39660250      0.00532926      0.28054063      1.40399525      3.80406925
    -99.80000000      0.01107791      0.00012899      0.99969988      0.39543018      0.85219602      2.39935015      0.00535896      0.28194558      1.40347067      3.80338662
    -99.70000000      0.01118186      0.00013083      0.99969534      0.39582970      0.85127423      2.40209869      0.00538883      0.28335756      1.40294400      3.80270008
    -99.60000000      0.01128674      0.00013269      0.99969074      0.39622956      0.85034735      2.40484809      0.00541887      0.28477658      1.40241524      3.80200962
    -99.50000000      0.01139256      0.00013458      0.99968607      0.39662978      0.84941533      2.40759832      0.00544907      0.28620269      1.40188439      3.80131521
    -99.40000000      0.01149933      0.00013650      0.99968133      0.39703036      0.84847817      2.41034936      0.00547944      0.28763592      1.40135144      3.80061684
    -99.30000000      0.01160705      0.00013844      0.99967652      0.39743128      0.84753585      2.41310118      0.00550998      0.28907631      1.40081639      3.79991448
    -99.20000000      0.01171574      0.00014041      0.99967163      0.39783257      0.84658835      2.41585376      0.00554069      0.29052389      1.40027922      3.79920811
    -99.10000000      0.01182539      0.00014241      0.99966667      0.39823421      0.84563564      2.41860708      0.00557157      0.29197870      1.39973994      3.79849771
    -99.00000000      0.01193602      0.00014444      0.99966163      0.39863620      0.84467770      2.42136111      0.00560263      0.29344077      1.39919854      3.79778326
    -98.90000000      0.01204764      0.00014649      0.99965652      0.39903856      0.84371453      2.42411583      0.00563385      0.29491014      1.39865501      3.79706475
    -98.80000000      0.01216026      0.00014857      0.99965133      0.39944126      0.84274609      2.42687121      0.00566525      0.29638685      1.39810935      3.79634214
    -98.70000000      0.01227387      0.00015069      0.99964607      0.39984432      0.84177236      2.42962722      0.00569683      0.29787092      1.39756154      3.79561542
    -98.60000000      0.01238850      0.00015283      0.99964072      0.40024774      0.84079334      2.43238383      0.00572858      0.29936241      1.39701159      3.79488458
    -98.50000000      0.01250415      0.00015500      0.99963530      0.40065151      0.83980900      2.43514103      0.00576050      0.30086134      1.39645949      3.79414957
    -98.40000000      0.01262082      0.00015720      0.99962979      0.40105564      0.83881931      2.43789879      0.00579261      0.30236774      1.39590524      3.79341040
    -98.30000000      0.01273853      0.00015944      0.99962420      0.40146013      0.83782426      2.44065707      0.00582489      0.30388167      1.39534882      3.79266703
    -98.20000000      0.01285728      0.00016170      0.99961852      0.40186497      0.83682384      2.44341586      0.00585735      0.30540315      1.39479023      3.79191944
    -98.10000000      0.01297709      0.00016400      0.99961276      0.40227016      0.83581802      2.44617511      0.00589000      0.30693222      1.39422946      3.79116761
    -98.00000000      0.01309796      0.00016633      0.99960691      0.40267571      0.83480678      2.44893482      0.00592282      0.30846892      1.39366652      3.79041153
    -97.90000000      0.01321990      0.00016869      0.99960097      0.40308162      0.83379010      2.45169494      0.00595583      0.31001328      1.39310139      3.78965116
    -97.80000000      0.01334291      0.00017109      0.99959494      0.40348789      0.83276797      2.45445545      0.00598903      0.31156535      1.39253407      3.78888650
    -97.70000000      0.01346702      0.00017352      0.99958883      0.40389451      0.83174036      2.45721632      0.00602240      0.31312516      1.39196455      3.78811751
    -97.60000000      0.01359222      0.00017598      0.99958262      0.40430149      0.83070726      2.45997753      0.00605597      0.31469275      1.39139283      3.78734417
    -97.50000000      0.01371853      0.00017848      0.99957631      0.40470882      0.82966864      2.46273904      0.00608972      0.31626816      1.39081890      3.78656647
    -97.40000000      0.01384595      0.00018101      0.99956991      0.40511651      0.82862450      2.46550082      0.00612365      0.31785143      1.39024276      3.78578438
    -97.30000000      0.01397449      0.00018358      0.99956342      0.40552456      0.82757481      2.46826285      0.00615778      0.31944259      1.38966440      3.78499788
    -97.20000000      0.01410417      0.00018619      0.99955683      0.40593296      0.82651955      2.47102509      0.00619210      0.32104169      1.38908381      3.78420694
    -97.10000000      0.01423498      0.00018883      0.99955013      0.40634172      0.82545870      2.47378752      0.00622660      0.32264875      1.38850099      3.78341155
    -97.00000000      0.01436695      0.00019151      0.99954334      0.40675084      0.82439225      2.47655010      0.00626130      0.32426383      1.38791593      3.78261169
    -96.90000000      0.01450008      0.00019422      0.99953644      0.40716032      0.82332017      2.47931280      0.00629620      0.32588696      1.38732863      3.78180732
    -96.80000000      0.01463437      0.00019698      0.99952944      0.40757015      0.82224246      2.48207560      0.00633128      0.32751818      1.38673908      3.78099843
    -96.70000000      0.01476985      0.00019977      0.99952233      0.40798034      0.82115908      2.48483845      0.00636656      0.32915754      1.38614728      3.78018500
    -96.60000000      0.01490651      0.00020260      0.99951512      0.40839089      0.82007003      2.48760134      0.00640204      0.33080506      1.38555322      3.77936700
    -96.50000000      0.01504437      0.00020547      0.99950780      0.40880179      0.81897528      2.49036422      0.00643772      0.33246079      1.38495689      3.77854442
