 # I_base(pA)  I_step(pA)  N_spikes  ISI_min(ms)
   -200.00        0.00       0  -1000.0000
   -200.00       10.00       0  -1000.0000
   -200.00       20.00       0  -1000.0000
   -200.00       30.00       0  -1000.0000
   -200.00       40.00       0  -1000.0000
   -200.00       50.00       0  -1000.0000
   -200.00       60.00       0  -1000.0000
   -200.00       70.00       0  -1000.0000
   -200.00       80.00       0  -1000.0000
   -200.00       90.00       0  -1000.0000
   -200.00      100.00       0  -1000.0000
   -175.00        0.00       0  -1000.0000
   -175.00       10.00       0  -1000.0000
   -175.00       20.00       0  -1000.0000
   -175.00       30.00       0  -1000.0000
   -175.00       40.00       0  -1000.0000
   -175.00       50.00       0  -1000.0000
   -175.00       60.00       0  -1000.0000
   -175.00       70.00       0  -1000.0000
   -175.00       80.00       0  -1000.0000
   -175.00       90.00       2     20.9500
   -175.00      100.00       3      9.8700
   -150.00        0.00       0  -1000.0000
   -150.00       10.00       0  -1000.0000
   -150.00       20.00       0  -1000.0000
   -150.00       30.00       0  -1000.0000
   -150.00       40.00       0  -1000.0000
   -150.00       50.00       0  -1000.0000
   -150.00       60.00       1  -1000.0000
   -150.00       70.00       2     23.6600
   -150.00       80.00       3     13.6100
   -150.00       90.00       5     10.5100
   -150.00      100.00       6      8.8800
   -125.00        0.00       0  -1000.0000
   -125.00       10.00       0  -1000.0000
   -125.00       20.00       0  -1000.0000
   -125.00       30.00       0  -1000.0000
   -125.00       40.00       1  -1000.0000
   -125.00       50.00       2     33.6500
   -125.00       60.00       3     19.6400
   -125.00       70.00       5     15.0200
   -125.00       80.00       7     12.5600
   -125.00       90.00       8     10.9800
   -125.00      100.00       9      9.8700
   -100.00        0.00       0  -1000.0000
   -100.00       10.00       0  -1000.0000
   -100.00       20.00       1  -1000.0000
   -100.00       30.00       2     33.1100
   -100.00       40.00       4     21.0300
   -100.00       50.00       5     16.3200
   -100.00       60.00       7     13.6900
   -100.00       70.00       8     11.9700
   -100.00       80.00      10     10.7400
   -100.00       90.00      11      9.8100
   -100.00      100.00      12      9.0800
    -75.00        0.00       0  -1000.0000
    -75.00       10.00       1  -1000.0000
    -75.00       20.00       2     78.4400
    -75.00       30.00       3     39.0600
    -75.00       40.00       4     28.5600
    -75.00       50.00       6     23.1100
    -75.00       60.00       7     19.6800
    -75.00       70.00       9     17.2900
    -75.00       80.00      10     15.5200
    -75.00       90.00      11     14.1500
    -75.00      100.00      12     13.0500
    -50.00        0.00       0  -1000.0000
    -50.00       10.00       0  -1000.0000
    -50.00       20.00       1  -1000.0000
    -50.00       30.00       2     72.7900
    -50.00       40.00       3     40.9800
    -50.00       50.00       4     31.4500
    -50.00       60.00       6     26.1300
    -50.00       70.00       7     22.6100
    -50.00       80.00       8     20.0700
    -50.00       90.00       9     18.1400
    -50.00      100.00      11     16.6100
    -25.00        0.00       0  -1000.0000
    -25.00       10.00       0  -1000.0000
    -25.00       20.00       0  -1000.0000
    -25.00       30.00       0  -1000.0000
    -25.00       40.00       1  -1000.0000
    -25.00       50.00       2     45.4300
    -25.00       60.00       4     34.3300
    -25.00       70.00       6     28.5300
    -25.00       80.00       7     24.7400
    -25.00       90.00       8     22.0100
    -25.00      100.00      10     19.9300
      0.00        0.00       0  -1000.0000
      0.00       10.00       0  -1000.0000
      0.00       20.00       0  -1000.0000
      0.00       30.00       0  -1000.0000
      0.00       40.00       1  -1000.0000
      0.00       50.00       2     68.2100
      0.00       60.00       4     41.8800
      0.00       70.00       6     33.1700
      0.00       80.00       7     28.1400
      0.00       90.00       9     24.7100
      0.00      100.00      10     22.1800
     25.00        0.00       0  -1000.0000
     25.00       10.00       0  -1000.0000
     25.00       20.00       0  -1000.0000
     25.00       30.00       0  -1000.0000
     25.00       40.00       3     78.2900
     25.00       50.00       5     45.8500
     25.00       60.00       7     35.7600
     25.00       70.00       8     30.0500
     25.00       80.00       9     26.2300
     25.00       90.00      10     23.4300
     25.00      100.00      12     21.2300
     50.00        0.00       0  -1000.0000
     50.00       10.00       0  -1000.0000
     50.00       20.00       4     58.5000
     50.00       30.00       6     41.3400
     50.00       40.00       7     33.5100
     50.00       50.00       8     28.4700
     50.00       60.00      10     24.9400
     50.00       70.00      11     22.3500
     50.00       80.00      12     20.3500
     50.00       90.00      13     18.7500
     50.00      100.00      14     17.4300
     75.00        0.00       6     39.7600
     75.00       10.00       7     32.8000
     75.00       20.00       9     28.2800
     75.00       30.00      10     25.0200
     75.00       40.00      11     22.5500
     75.00       50.00      12     20.5900
     75.00       60.00      13     19.0100
     75.00       70.00      14     17.6700
     75.00       80.00      15     16.5500
     75.00       90.00      16     15.5700
     75.00      100.00      17     14.7300
    100.00        0.00       9     26.0000
    100.00       10.00      11     23.2800
    100.00       20.00      12     21.1800
    100.00       30.00      13     19.4700
    100.00       40.00      14     18.0600
    100.00       50.00      15     16.8800
    100.00       60.00      16     15.8700
    100.00       70.00      17     14.9900
    100.00       80.00      18     14.2200
    100.00       90.00      18     13.5300
    100.00      100.00      19     12.9300
    125.00        0.00      12     20.2700
    125.00       10.00      13     18.7100
    125.00       20.00      14     17.4100
    125.00       30.00      15     16.3200
    125.00       40.00      16     15.3700
    125.00       50.00      17     14.5600
    125.00       60.00      18     13.8400
    125.00       70.00      19     13.2000
    125.00       80.00      19     12.6300
    125.00       90.00      20     12.1200
    125.00      100.00      21     11.6500
    150.00        0.00      15     16.8200
    150.00       10.00      16     15.8200
    150.00       20.00      17     14.9400
