   it     t(ms)         Vm(mV)
           0   0.00000000       0.00000000    
           1   1.00000000       0.00000000    
           2   2.00000000       0.00000000    
           3   3.00000000       0.00000000    
           4   4.00000000       0.00000000    
           5   5.00000000       0.00000000    
           6   6.00000000       2.00000000    
           7   7.00000000       3.96000004    
           8   8.00000000       5.88080025    
           9   9.00000000       7.76318407    
          10   10.0000000       9.60792065    
          11   11.0000000       11.4157619    
          12   12.0000000       13.1874466    
          13   13.0000000       14.9236975    
          14   14.0000000       16.6252232    
          15   15.0000000       18.2927189    
          16   16.0000000       19.9268646    
          17   17.0000000       21.5283279    
          18   18.0000000       23.0977612    
          19   19.0000000       24.6358051    
          20   20.0000000       26.1430893    
          21   21.0000000       27.6202278    
          22   22.0000000       29.0678234    
          23   23.0000000       30.4864674    
          24   24.0000000       31.8767376    
          25   25.0000000       33.2392044    
          26   26.0000000       34.5744209    
          27   27.0000000       35.8829308    
          28   28.0000000       37.1652718    
          29   29.0000000       38.4219666    
          30   30.0000000       39.6535263    
          31   31.0000000       40.8604546    
          32   32.0000000       42.0432472    
          33   33.0000000       43.2023811    
          34   34.0000000       44.3383331    
          35   35.0000000       45.4515648    
          36   36.0000000       46.5425339    
          37   37.0000000       47.6116829    
          38   38.0000000       48.6594505    
          39   39.0000000       49.6862602    
          40   40.0000000       50.6925354    
          41   41.0000000       51.6786842    
          42   42.0000000       52.6451111    
          43   43.0000000       53.5922089    
          44   44.0000000       54.5203629    
          45   45.0000000       55.4299545    
          46   46.0000000       56.3213539    
          47   47.0000000       57.1949272    
          48   48.0000000       58.0510292    
          49   49.0000000       58.8900070    
          50   50.0000000       59.7122078    
          51   51.0000000       58.5179634    
          52   52.0000000       57.3476028    
          53   53.0000000       56.2006493    
          54   54.0000000       55.0766373    
          55   55.0000000       53.9751053    
          56   56.0000000       52.8956032    
          57   57.0000000       51.8376923    
          58   58.0000000       50.8009377    
          59   59.0000000       49.7849197    
          60   60.0000000       48.7892227    
          61   61.0000000       47.8134384    
          62   62.0000000       46.8571701    
          63   63.0000000       45.9200249    
          64   64.0000000       45.0016251    
          65   65.0000000       44.1015930    
          66   66.0000000       43.2195625    
          67   67.0000000       42.3551712    
          68   68.0000000       41.5080681    
          69   69.0000000       40.6779060    
          70   70.0000000       39.8643494    
          71   71.0000000       39.0670624    
          72   72.0000000       38.2857208    
          73   73.0000000       37.5200081    
          74   74.0000000       36.7696075    
          75   75.0000000       36.0342140    
          76   76.0000000       35.3135300    
          77   77.0000000       34.6072578    
          78   78.0000000       33.9151115    
          79   79.0000000       33.2368088    
