   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
           0   1.00000007E-05   0.00000000       0.00000000       0.00000000    
           1   2.00000013E-05   2.00000013E-05   1.99902061E-05  -4.90002858E-04
           2   3.00000029E-05   3.99800047E-05   3.99601449E-05  -4.96988359E-04
           3   4.00000026E-05   5.99400264E-05   5.99098203E-05  -5.04193420E-04
           4   5.00000024E-05   7.98800902E-05   7.98404217E-05  -4.96847613E-04
           5   6.00000058E-05   9.98002142E-05   9.97507523E-05  -4.95855522E-04
           6   7.00000019E-05   1.19700417E-04   1.19640827E-04  -4.98074922E-04
           7   8.00000053E-05   1.39580719E-04   1.39510623E-04  -5.02446142E-04
           8   9.00000086E-05   1.59441144E-04   1.59361356E-04  -5.00674418E-04
           9   1.00000005E-04   1.79281706E-04   1.79193012E-04  -4.94963082E-04
          10   1.10000008E-04   1.99102418E-04   1.99003218E-04  -4.98486450E-04
          11   1.20000012E-04   2.18903326E-04   2.18794346E-04  -4.98090056E-04
          12   1.30000015E-04   2.38684428E-04   2.38565204E-04  -4.99753689E-04
          13   1.40000004E-04   2.58445740E-04   2.58316984E-04  -4.98439360E-04
          14   1.50000007E-04   2.78187305E-04   2.78049702E-04  -4.94886015E-04
          15   1.60000011E-04   2.97909108E-04   2.97760969E-04  -4.97508096E-04
          16   1.70000014E-04   3.17611208E-04   3.17453145E-04  -4.97909379E-04
          17   1.80000017E-04   3.37293604E-04   3.37126257E-04  -4.96392720E-04
          18   1.90000006E-04   3.56956327E-04   3.56779085E-04  -4.96784516E-04
          19   2.00000009E-04   3.76599375E-04   3.76412849E-04  -4.95536893E-04
          20   2.10000013E-04   3.96222778E-04   3.96026357E-04  -4.95981541E-04
          21   2.20000016E-04   4.15826566E-04   4.15620802E-04  -4.95076471E-04
          22   2.30000020E-04   4.35410737E-04   4.35194961E-04  -4.95814078E-04
          23   2.40000023E-04   4.54975321E-04   4.54750058E-04  -4.95357031E-04
          24   2.50000012E-04   4.74520348E-04   4.74286062E-04  -4.93975822E-04
          25   2.60000030E-04   4.94045846E-04   4.93801839E-04  -4.94138512E-04
          26   2.70000019E-04   5.13551815E-04   5.13298495E-04  -4.93513478E-04
          27   2.80000007E-04   5.33038285E-04   5.32774895E-04  -4.94373264E-04
          28   2.90000025E-04   5.52505255E-04   5.52232261E-04  -4.94346197E-04
          29   3.00000014E-04   5.71952725E-04   5.71670535E-04  -4.93624771E-04
          30   3.10000032E-04   5.91380754E-04   5.91089716E-04  -4.92375868E-04
          31   3.20000021E-04   6.10789401E-04   6.10488642E-04  -4.92652878E-04
          32   3.30000010E-04   6.30178605E-04   6.29868475E-04  -4.92373307E-04
          33   3.40000028E-04   6.49548427E-04   6.49229274E-04  -4.91586921E-04
          34   3.50000017E-04   6.68898865E-04   6.68569817E-04  -4.92166844E-04
          35   3.60000035E-04   6.88229979E-04   6.87891210E-04  -4.92474064E-04
          36   3.70000023E-04   7.07541767E-04   7.07194791E-04  -4.90636914E-04
          37   3.80000012E-04   7.26834231E-04   7.26476894E-04  -4.91876388E-04
          38   3.90000030E-04   7.46107369E-04   7.45741127E-04  -4.91112238E-04
          39   4.00000019E-04   7.65361241E-04   7.64986267E-04  -4.90170554E-04
          40   4.10000037E-04   7.84595904E-04   7.84211152E-04  -4.90623759E-04
          41   4.20000026E-04   8.03811301E-04   8.03416944E-04  -4.90849605E-04
          42   4.30000015E-04   8.23007489E-04   8.22604867E-04  -4.89448081E-04
          43   4.40000033E-04   8.42184469E-04   8.41772533E-04  -4.89366881E-04
          44   4.50000021E-04   8.61342298E-04   8.60921107E-04  -4.89232538E-04
          45   4.60000039E-04   8.80480977E-04   8.80050648E-04  -4.88982361E-04
          46   4.70000028E-04   8.99600505E-04   8.99161096E-04  -4.88688413E-04
          47   4.80000046E-04   9.18700884E-04   9.18252452E-04  -4.88353544E-04
          48   4.90000006E-04   9.37782170E-04   9.37324716E-04  -4.88042191E-04
          49   5.00000024E-04   9.56844364E-04   9.56377946E-04  -4.87692130E-04
          50   5.10000042E-04   9.75887524E-04   9.75412084E-04  -4.87424928E-04
          51   5.20000060E-04   9.94911650E-04   9.94427130E-04  -4.87235870E-04
          52   5.30000019E-04   1.01391668E-03   1.01342320E-03  -4.86948149E-04
          53   5.40000037E-04   1.03290274E-03   1.03240006E-03  -4.86905599E-04
          54   5.50000055E-04   1.05186983E-03   1.05135795E-03  -4.86873352E-04
          55   5.60000015E-04   1.07081793E-03   1.07029674E-03  -4.86959703E-04
          56   5.70000033E-04   1.08974706E-03   1.08921761E-03  -4.86089179E-04
          57   5.80000051E-04   1.10865734E-03   1.10811822E-03  -4.86517907E-04
          58   5.90000011E-04   1.12754863E-03   1.12700101E-03  -4.85906989E-04
          59   6.00000028E-04   1.14642107E-03   1.14586472E-03  -4.85527504E-04
          60   6.10000046E-04   1.16527465E-03   1.16470933E-03  -4.85368131E-04
          61   6.20000064E-04   1.18410937E-03   1.18353486E-03  -4.85418423E-04
          62   6.30000024E-04   1.20292522E-03   1.20234245E-03  -4.84699762E-04
          63   6.40000042E-04   1.22172234E-03   1.22113107E-03  -4.84201446E-04
          64   6.50000060E-04   1.24050060E-03   1.23990059E-03  -4.83913434E-04
          65   6.60000020E-04   1.25926011E-03   1.25865103E-03  -4.83918848E-04
          66   6.70000038E-04   1.27800088E-03   1.27738237E-03  -4.84204735E-04
          67   6.80000056E-04   1.29672291E-03   1.29609578E-03  -4.83860320E-04
          68   6.90000074E-04   1.31542620E-03   1.31479022E-03  -4.83709795E-04
          69   7.00000033E-04   1.33411074E-03   1.33346673E-03  -4.82958858E-04
          70   7.10000051E-04   1.35277666E-03   1.35212415E-03  -4.82579868E-04
          71   7.20000069E-04   1.37142383E-03   1.37076259E-03  -4.82387724E-04
