   it           t(s)          Vm(V)
           0   0.00000000       0.00000000    
           1   1.00000005E-03   0.00000000    
           2   2.00000009E-03   0.00000000    
           3   3.00000003E-03   0.00000000    
           4   4.00000019E-03   0.00000000    
           5   5.00000035E-03   0.00000000    
           6   6.00000005E-03   2.00000009E-03
           7   7.00000022E-03   3.80000006E-03
           8   8.00000038E-03   5.42000029E-03
           9   9.00000054E-03   6.87800022E-03
          10   1.00000007E-02   8.19020066E-03
          11   1.10000009E-02   9.37118102E-03
          12   1.20000001E-02   1.04340632E-02
          13   1.30000003E-02   1.13906572E-02
          14   1.40000004E-02   1.22515913E-02
          15   1.50000006E-02   1.30264321E-02
          16   1.60000008E-02   1.37237888E-02
          17   1.70000009E-02   1.43514099E-02
          18   1.80000011E-02   1.49162691E-02
          19   1.90000013E-02   1.54246418E-02
          20   2.00000014E-02   1.58821773E-02
          21   2.10000016E-02   1.62939597E-02
          22   2.20000017E-02   1.66645646E-02
          23   2.30000019E-02   1.69981085E-02
          24   2.40000002E-02   1.72982980E-02
          25   2.50000004E-02   1.75684690E-02
          26   2.60000005E-02   1.78116225E-02
          27   2.70000007E-02   1.80304609E-02
          28   2.80000009E-02   1.82274152E-02
          29   2.90000010E-02   1.84046738E-02
          30   3.00000012E-02   1.85642056E-02
          31   3.10000014E-02   1.87077858E-02
          32   3.20000015E-02   1.88370068E-02
          33   3.29999998E-02   1.89533066E-02
          34   3.40000018E-02   1.90579761E-02
          35   3.50000001E-02   1.91521794E-02
          36   3.60000022E-02   1.92369614E-02
          37   3.70000005E-02   1.93132646E-02
          38   3.80000025E-02   1.93819385E-02
          39   3.90000008E-02   1.94437448E-02
          40   4.00000028E-02   1.94993708E-02
          41   4.10000011E-02   1.95494331E-02
          42   4.20000032E-02   1.95944905E-02
          43   4.30000015E-02   1.96350422E-02
          44   4.40000035E-02   1.96715388E-02
          45   4.50000018E-02   1.97043847E-02
          46   4.60000038E-02   1.97339468E-02
          47   4.70000021E-02   1.97605528E-02
          48   4.80000004E-02   1.97844971E-02
          49   4.90000024E-02   1.98060479E-02
          50   5.00000007E-02   1.98254436E-02
          51   5.10000028E-02   1.78429000E-02
          52   5.20000011E-02   1.60586108E-02
          53   5.30000031E-02   1.44527499E-02
          54   5.40000014E-02   1.30074751E-02
          55   5.50000034E-02   1.17067276E-02
          56   5.60000017E-02   1.05360551E-02
          57   5.70000038E-02   9.48244985E-03
          58   5.80000021E-02   8.53420515E-03
          59   5.90000041E-02   7.68078445E-03
          60   6.00000024E-02   6.91270595E-03
          61   6.10000044E-02   6.22143550E-03
          62   6.20000027E-02   5.59929200E-03
          63   6.30000010E-02   5.03936270E-03
          64   6.40000030E-02   4.53542639E-03
          65   6.50000051E-02   4.08188347E-03
          66   6.59999996E-02   3.67369503E-03
          67   6.70000017E-02   3.30632553E-03
          68   6.80000037E-02   2.97569297E-03
          69   6.90000057E-02   2.67812377E-03
          70   7.00000003E-02   2.41031148E-03
          71   7.10000023E-02   2.16928031E-03
          72   7.20000044E-02   1.95235224E-03
          73   7.30000064E-02   1.75711699E-03
          74   7.40000010E-02   1.58140529E-03
          75   7.50000030E-02   1.42326474E-03
          76   7.60000050E-02   1.28093828E-03
          77   7.70000070E-02   1.15284440E-03
          78   7.80000016E-02   1.03755994E-03
          79   7.90000036E-02   9.33803967E-04
